COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
85880,2010,12,25,0.00000,57.00000,30.00000, 43.50000
85880,2010,12,26,0.46000,61.00000,33.00000, 47.00000
85880,2010,12,27,0.00000,42.00000,26.00000, 34.00000
85880,2010,12,28,0.00000,45.00000,25.00000, 35.00000
85880,2010,12,29,0.00000,52.00000,25.00000, 38.50000
85880,2010,12,30,0.00000,58.00000,27.00000, 42.50000
85880,2010,12,31,0.00000,67.00000,40.00000, 53.50000
85880,2011,1,1,0.00000,73.00000,46.00000, 59.50000
85880,2011,1,2,1.26000,73.00000,55.00000, 64.00000
85880,2011,1,3,0.36000,63.00000,33.00000, 48.00000
85880,2011,1,4,0.00000,57.00000,33.00000, 45.00000
85880,2011,1,5,0.00000,62.00000,40.00000, 51.00000
85880,2011,1,6,0.98000,54.00000,45.00000, 49.50000
85880,2011,1,7,0.00000,56.00000,34.00000, 45.00000
85880,2011,1,8,0.00000,62.00000,34.00000, 48.00000
85880,2011,1,9,0.00000,57.00000,33.00000, 45.00000
85880,2011,1,10,0.21000,48.00000,33.00000, 40.50000
85880,2011,1,11,0.02000,44.00000,37.00000, 40.50000
85880,2011,1,12,0.00000,39.00000,28.00000, 33.50000
85880,2011,1,13,0.00000,43.00000,24.00000, 33.50000
85880,2011,1,14,0.00000,43.00000,22.00000, 32.50000
85880,2011,1,15,0.00000,50.00000,23.00000, 36.50000
85880,2011,1,16,0.00000,55.00000,24.00000, 39.50000
85880,2011,1,17,0.15000,61.00000,29.00000, 45.00000
85880,2011,1,18,0.27000,59.00000,44.00000, 51.50000
85880,2011,1,19,0.43000,63.00000,49.00000, 56.00000
85880,2011,1,20,0.00000,60.00000,35.00000, 47.50000
85880,2011,1,21,0.05000,61.00000,34.00000, 47.50000
85880,2011,1,22,0.17000,54.00000,28.00000, 41.00000
85880,2011,1,23,0.00000,47.00000,25.00000, 36.00000
85880,2011,1,24,0.00000,54.00000,25.00000, 39.50000
85880,2011,1,25,0.07000,65.00000,28.00000, 46.50000
