COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
85612,2021,4,18,0.00000,89.00000,72.00000, 80.50000
85612,2021,4,19,0.65000,78.00000,70.00000, 74.00000
85612,2021,4,20,0.45000,77.00000,69.00000, 73.00000
85612,2021,4,21,0.00000,85.00000,67.00000, 76.00000
85612,2021,4,22,0.00000,77.00000,58.00000, 67.50000
85612,2021,4,23,0.00000,77.00000,68.00000, 72.50000
85612,2021,4,24,0.00001,85.00000,72.00000, 78.50000
85612,2021,4,25,0.05000,87.00000,70.00000, 78.50000
85612,2021,4,26,0.00001,82.00000,62.00000, 72.00000
85612,2021,4,27,0.00000,81.00000,72.00000, 76.50000
85612,2021,4,28,0.00000,82.00000,72.00000, 77.00000
85612,2021,4,29,0.00000,85.00000,73.00000, 79.00000
85612,2021,4,30,0.00000,91.00000,72.00000, 81.50000
85612,2021,5,1,0.00000,85.00000,67.00000, 76.00000
85612,2021,5,2,0.00000,92.00000,77.00000, 84.50000
85612,2021,5,3,0.03000,92.00000,75.00000, 83.50000
85612,2021,5,4,0.07000,91.00000,74.00000, 82.50000
85612,2021,5,5,0.65000,94.00000,73.00000, 83.50000
85612,2021,5,6,0.16000,91.00000,72.00000, 81.50000
85612,2021,5,7,0.00000,85.00000,64.00000, 74.50000
85612,2021,5,8,0.00000,81.00000,60.00000, 70.50000
85612,2021,5,9,0.00000,84.00000,65.00000, 74.50000
85612,2021,5,10,0.08000,92.00000,74.00000, 83.00000
85612,2021,5,11,0.00000,88.00000,72.00000, 80.00000
85612,2021,5,12,0.32000,91.00000,73.00000, 82.00000
85612,2021,5,13,0.00001,80.00000,68.00000, 74.00000
85612,2021,5,14,0.00001,83.00000,65.00000, 74.00000
85612,2021,5,15,0.00000,83.00000,73.00000, 78.00000
85612,2021,5,16,0.00000,81.00000,72.00000, 76.50000
85612,2021,5,17,0.00001,83.00000,72.00000, 77.50000
85612,2021,5,18,0.00000,85.00000,75.00000, 80.00000
85612,2021,5,19,0.00000,84.00000,75.00000, 79.50000
85612,2021,5,20,0.02000,83.00000,72.00000, 77.50000
85612,2021,5,21,0.00001,84.00000,74.00000, 79.00000
85612,2021,5,22,0.00001,84.00000,74.00000, 79.00000
85612,2021,5,23,0.00000,82.00000,73.00000, 77.50000
85612,2021,5,24,0.00000,83.00000,63.00000, 73.00000
85612,2021,5,25,0.00000,84.00000,68.00000, 76.00000
85612,2021,5,26,0.00000,85.00000,68.00000, 76.50000
85612,2021,5,27,0.00000,87.00000,66.00000, 76.50000
85612,2021,5,28,0.00000,88.00000,71.00000, 79.50000
85612,2021,5,29,0.00001,91.00000,73.00000, 82.00000
85612,2021,5,30,0.01000,87.00000,72.00000, 79.50000
85612,2021,5,31,0.00000,83.00000,71.00000, 77.00000
85612,2021,6,1,0.16000,85.00000,74.00000, 79.50000
85612,2021,6,2,0.01000,86.00000,72.00000, 79.00000
85612,2021,6,3,0.71000,85.00000,74.00000, 79.50000
85612,2021,6,4,0.12000,85.00000,74.00000, 79.50000
85612,2021,6,5,0.00000,88.00000,75.00000, 81.50000
85612,2021,6,6,0.02000,87.00000,76.00000, 81.50000
85612,2021,6,7,0.00000,88.00000,78.00000, 83.00000
85612,2021,6,8,0.00000,87.00000,78.00000, 82.50000
85612,2021,6,9,0.00000,87.00000,77.00000, 82.00000
85612,2021,6,10,0.00000,89.00000,71.00000, 80.00000
85612,2021,6,11,0.05000,92.00000,74.00000, 83.00000
85612,2021,6,12,0.53000,93.00000,73.00000, 83.00000
85612,2021,6,13,0.03000,94.00000,73.00000, 83.50000
85612,2021,6,14,2.73000,92.00000,71.00000, 81.50000
85612,2021,6,15,0.11000,89.00000,73.00000, 81.00000
85612,2021,6,16,0.86000,86.00000,71.00000, 78.50000
85612,2021,6,17,0.00000,86.00000,71.00000, 78.50000
85612,2021,6,18,0.00000,86.00000,74.00000, 80.00000
85612,2021,6,19,0.00000,89.00000,78.00000, 83.50000
85612,2021,6,20,0.00001,95.00000,78.00000, 86.50000
85612,2021,6,21,0.09000,92.00000,73.00000, 82.50000
85612,2021,6,22,0.90000,95.00000,72.00000, 83.50000
85612,2021,6,23,0.01000,87.00000,73.00000, 80.00000
85612,2021,6,24,0.00000,87.00000,72.00000, 79.50000
85612,2021,6,25,0.01000,86.00000,76.00000, 81.00000
85612,2021,6,26,0.11000,86.00000,77.00000, 81.50000
85612,2021,6,27,0.00001,87.00000,79.00000, 83.00000
85612,2021,6,28,0.00000,87.00000,78.00000, 82.50000
85612,2021,6,29,0.16000,86.00000,75.00000, 80.50000
85612,2021,6,30,0.00000,87.00000,76.00000, 81.50000
85612,2021,7,1,0.03000,84.00000,75.00000, 79.50000
85612,2021,7,2,0.00000,92.00000,73.00000, 82.50000
85612,2021,7,3,0.21000,88.00000,75.00000, 81.50000
85612,2021,7,4,0.36000,93.00000,73.00000, 83.00000
85612,2021,7,5,0.70000,88.00000,74.00000, 81.00000
85612,2021,7,6,0.00001,85.00000,75.00000, 80.00000
85612,2021,7,7,0.06000,88.00000,79.00000, 83.50000
85612,2021,7,8,0.00000,92.00000,77.00000, 84.50000
85612,2021,7,9,0.14000,90.00000,73.00000, 81.50000
85612,2021,7,10,0.01000,89.00000,73.00000, 81.00000
85612,2021,7,11,0.00001,87.00000,74.00000, 80.50000
85612,2021,7,12,0.00001,88.00000,76.00000, 82.00000
85612,2021,7,13,0.06000,86.00000,77.00000, 81.50000
85612,2021,7,14,0.19000,85.00000,78.00000, 81.50000
85612,2021,7,15,0.01000,87.00000,80.00000, 83.50000
85612,2021,7,16,0.09000,87.00000,79.00000, 83.00000
85612,2021,7,17,0.00000,88.00000,76.00000, 82.00000
